,fold,epoch,total_train_loss,avg_train_loss,total_val_loss,avg_val_loss,val_accuracy,f1_macro,report
0,1,1,21.76382240653038,0.7504766347079441,4.3947756588459015,0.5493469573557377,0.86,0.6348549308378996,"              precision  recall  f1-score  support
0                  0.00    0.00      0.00    15.00
1                  0.85    0.98      0.91   148.00
2                  0.91    0.79      0.84    62.00
accuracy           0.86    0.86      0.86     0.86
macro avg          0.59    0.59      0.58   225.00
weighted avg       0.81    0.86      0.83   225.00"
1,1,2,13.482145592570305,0.4649015721575967,3.2591545581817627,0.40739431977272034,0.87,0.641716029682694,"              precision  recall  f1-score  support
0                  0.00    0.00      0.00    15.00
1                  0.84    0.99      0.91   148.00
2                  0.96    0.79      0.87    62.00
accuracy           0.87    0.87      0.87     0.87
macro avg          0.60    0.59      0.59   225.00
weighted avg       0.82    0.87      0.84   225.00"
2,1,3,9.75459609925747,0.3363653827330162,3.2855662405490875,0.41069578006863594,0.87,0.6381461501962332,"              precision  recall  f1-score  support
0                  0.00    0.00      0.00    15.00
1                  0.85    0.99      0.92   148.00
2                  0.92    0.79      0.85    62.00
accuracy           0.87    0.87      0.87     0.87
macro avg          0.59    0.59      0.59   225.00
weighted avg       0.82    0.87      0.84   225.00"
3,1,4,6.243729991838336,0.21530103420132193,2.9970667883753777,0.3746333485469222,0.88,0.7038368291980823,"              precision  recall  f1-score  support
0                  0.60    0.20      0.30    15.00
1                  0.87    0.98      0.92   148.00
2                  0.94    0.82      0.88    62.00
accuracy           0.88    0.88      0.88     0.88
macro avg          0.81    0.67      0.70   225.00
weighted avg       0.87    0.88      0.87   225.00"
4,1,5,4.2594217993319035,0.14687661377006564,2.736256644129753,0.34203208051621914,0.9,0.8074291491597012,"              precision  recall  f1-score  support
0                  0.86    0.40      0.55     15.0
1                  0.90    0.97      0.94    148.0
2                  0.91    0.85      0.88     62.0
accuracy           0.90    0.90      0.90      0.9
macro avg          0.89    0.74      0.79    225.0
weighted avg       0.90    0.90      0.89    225.0"
5,2,1,21.577353835105896,0.7440466839691688,4.526497274637222,0.5658121593296528,0.83,0.6449775664469461,"              precision  recall  f1-score  support
0                  0.00    0.00      0.00    16.00
1                  0.83    0.96      0.89   148.00
2                  0.85    0.74      0.79    61.00
accuracy           0.83    0.83      0.83     0.83
macro avg          0.56    0.57      0.56   225.00
weighted avg       0.77    0.83      0.80   225.00"
6,2,2,12.616523064672947,0.43505251947148094,3.618723653256893,0.45234045665711164,0.84,0.6816502481296753,"              precision  recall  f1-score  support
0                  0.57    0.25      0.35    16.00
1                  0.85    0.95      0.90   148.00
2                  0.85    0.75      0.80    61.00
accuracy           0.84    0.84      0.84     0.84
macro avg          0.76    0.65      0.68   225.00
weighted avg       0.83    0.84      0.83   225.00"
7,2,3,8.642849761992693,0.2980293021376791,3.3918014839291573,0.42397518549114466,0.85,0.7654410648041345,"              precision  recall  f1-score  support
0                  0.64    0.44      0.52    16.00
1                  0.87    0.93      0.90   148.00
2                  0.84    0.75      0.79    61.00
accuracy           0.85    0.85      0.85     0.85
macro avg          0.78    0.71      0.74   225.00
weighted avg       0.84    0.85      0.84   225.00"
8,2,4,5.147474048659205,0.1774991051261795,3.656684571877122,0.45708557148464024,0.84,0.7271397186246371,"              precision  recall  f1-score  support
0                  0.50    0.31      0.38    16.00
1                  0.86    0.94      0.90   148.00
2                  0.87    0.75      0.81    61.00
accuracy           0.84    0.84      0.84     0.84
macro avg          0.74    0.67      0.70   225.00
weighted avg       0.84    0.84      0.84   225.00"
9,3,1,22.126112818717957,0.7629694075419985,3.8050788193941116,0.47563485242426395,0.85,0.6682334505106995,"              precision  recall  f1-score  support
0                  0.00    0.00      0.00    16.00
1                  0.85    0.95      0.90   148.00
2                  0.84    0.84      0.84    61.00
accuracy           0.85    0.85      0.85     0.85
macro avg          0.56    0.59      0.58   225.00
weighted avg       0.79    0.85      0.82   225.00"
