tweet_id,content,post_date,relevance
A522,"A cabeça pensa onde o pé pisa. Quem governa de dentro do escritório com ar-condicionado não conhece o dia-a-dia das escolas em POA. O protocolo de volta às aulas de Marchezan, como diz @ProfAlexFraga, é miserável e coloca a vida de alunos e professores em risco. #SemVacinaSemAula",2020-09-15,relevant
A457,"Sarto vai fazer um grande Programa de Enfrentamento à Pandemia, vai garantir a vacina da Covid e muito mais! 🤝\n\nConfira o programa de hoje: #Fortaleza #CaminhandoJuntos #ComForçaECoragem #Sarto12 #FortalezaCadaVezMelhor #TrabalhoSério",2020-11-20,relevant
A445,A Câmara dos Deputados votou hoje a MP que trata da adesão do Brasil à Aliança de Vacinação contra a Covid. O @psol50 encaminhou voto favorável à vacina. Nosso partido defende que o negacionismo de Bolsonaro é um projeto de uma sociedade movida pelo ódio e precisa ser derrotado.,2020-12-18,relevant
A546,Tirar Bolsonaro do poder é uma questão de vida ou morte. Um presidente que impede testes para produção de uma vacina por pura guerra ideológica e que zomba da dor do povo precisa ser retirado imediatamente do poder. #ForaBolsonaro #impeachmentDeBolsonaro #bolsonarogenocida,2020-11-10,relevant
A847,"E a LIESA decidiu adiar os desfiles do #CarnavalRJ. Sem data, não dá para pensar em sambódromo sem a esperada vacina. Agora é olhar pros profissionais do Carnaval, que precisam de apoio até o fim da pandemia. #DelegadaMarthaRocha #CarnavalRiodeJaneiro",2020-09-24,relevant
A589,Idosos com Covid-19 foram isolados em uma sala com um paciente morto no Amazonas. E o ministro da Saúde ainda pergunta o porquê da pressa pela vacina. Esse é o Brasil que a propaganda do governo Bolsonaro não mostra. ,2020-12-20,relevant
A1010,Campanha contra a poliomielite ainda precisa vacinar 6 milhões de crianças para bater a meta ,2020-10-31,irrelevant
A1969,"@donViolato @DanskHenrich @DeputadaMariana Bom dia! \nDifícil é o fato de saber que politizaram algo tão importante. Nós queremos a vacina e vamos nos preparar para qualquer uma, desde que autorizada pelos órgãos competentes.",2020-12-08,relevant
A2054,"✅H1N1\n\nApresentei, durante sessão online da Assembleia Legislativa, requerimento para que seja priorizada a vacinação de feirantes e pessoas que trabalham em supermercados, panificadoras e padarias.\n\nO foco é sempre no cidadão!\n\n#menosDiscurso #maisAção ",2020-04-16,irrelevant
A1898,"“Ah, mas a vacina causa mutação genética...”\nNÃO CAUSA, vamos parar de fake news e ouvir a Ciência! A vacina é uma escolha pela vida! ",2020-12-16,relevant
A236,"No dia em que a Rússia anuncia a primeira vacina contra o coronavírus, em meio a muita desconfiança, outras frentes seguem seu trabalho. Que a gente possa ter ótimas notícias em breve!\n\n#coronaviruscuritiba #coronavirusparana #curitiba \n\n",2020-08-11,relevant
A1892,Vamos continuar a mobilização para ver se esse governo irresponsável e incompetents se mexe e trabalha ! #VacinaJa ,2020-12-10,relevant
A1760,"Na primeira sessão online da Câmara, solicitei ao Ministério da Saúde o envio de mais lotes da vacina de H1N1 ao Maranhão, especialmente para São Luís por conta do surto da doença. Precisamos retomar a vacinação o mais rápido possível!  #Prevenção #H1N1 #SãoLuís #Maranhão ",2020-03-26,irrelevant
A1733,"Reunimos também com o pré-candidato a vereador pelo PSB de Imperatriz, Johnson Alves.\n•\n#EssaLutaéNossa ",2020-02-14,irrelevant
A104,"DIA DO ESTUDANTE\nEstamos vivendo um momento diferente com a pandemia do Covid-19. Com isso vocês estudantes, estão fora das salas de aula. Sabemos que isto é temporário e estamos torcendo para a chegada urgente da vacina. Enquanto isto, continuem ligados nos estudos em suas",2020-08-11,relevant
A1097,O #Brasil anda na contramão e corre o risco de ser um dos últimos países a receber a vacina contra a #covid19. Tudo isso graças ao desgoverno do presidente #genocida,2020-05-19,relevant
A1193,"""Não sei porque correr com a vacina.""\n\n20 milhões de crianças em idade escolar meses fora da sala de aula.\nMais de 10 milhões de pessoas com mais de 60 anos.\n154 mil famílias que perderam entes queridos.\n\nElas sabem, Bolsonaro.",2020-10-26,relevant
A1211,Pico\n\neu vou tomar vacina\nquem não quiser\nque tome cloroquina\nnão vou passar vergonha\nquem não quiser\nque escute esse pamonha ,2020-12-11,relevant
A1240,"Enquanto assistimos às cenas de países iniciando a vacinação, nos deparamos hj com um relatório do TCU que prova o que sabíamos: o governo Bolsonaro não possui um plano mínimo de imunização. Vamos aos pontos:",2020-12-21,relevant
A1297,"É só propaganda!\n\nNão apresentou plano de vacinação.\nNão comprou seringas, agulhas e nem algodão!\nNão tem contrato c/ a Pfeizer e refuta a vacina do Butantan\n\nNenhuma vacina foi  aprovada pela Anvisa.\nEstamos no dia 10 de dezembro\n\nGoverno promete vacinar ainda este mês. Como?.",2020-12-09,relevant
A136,NACIONAL | A discussão correta é a de como podemos preservar a vida daqueles que são mais atingidos pela pandemia. A vacinação em massa é a solução científica para a classe trabalhadora\n,2020-10-23,relevant
A1395,"Já há no @STF_oficial inclusive pedido de @FlavioDino para que os estados possam comprar a vacina diretamente, vez que a União tem atuado, deliberada e irresponsavelmente, contra a vacina, o que causará danos terríveis ao Brasil - em vidas e na economia. 👇🏿",2020-12-11,relevant
A1448,O Brasil se tornou uma grande referência mundial em programas de vacinação por conta da infraestrutura nacional criada no combate às doenças ao longo dos anos. Esta liderança do governo federal deve ser mantida também na vacinação contra a COVID-19. 👇,2020-12-16,relevant
A1450,"Desejo a todos os aracajuanos um feliz ano novo. Vivemos um momento difícil e espero que, em 2021, os brasileiros sejam vacinados para darmos um passo adiante. Tenho a esperança de que vamos vencer a pandemia e fazer mais e melhor pela população. #FanFM",2020-12-30,relevant
A1461,Hoje tem #TBT com um vídeo da campanha. Eu fui o único candidato a abordar o tema da vacina e a dizer que iria fazer a vacinação em Aracaju. Hoje isso se torna um imperativo para se superar a pandemia da Covid-19. #Vacinaparatodosjá ,2020-12-18,relevant
A1576,"MP DA VACINA\n1 - ""A sugestão foi apresentada pela Comissão Externa da Câmara que acompanha que acompanha as medidas de combate ao coronavírus, após visita de quinze deputados da Comissão ao Instituto Bio-Manguinhos, na terça-feira (28)"". ",2020-08-07,relevant
A1595,"É uma irresponsabilidade pensar em retomar as aulas presenciais durante uma pandemia. Não há segurança para os trabalhadores da educação nem para o conjunto da comunidade escolar, tanto na rede pública quanto privada. Só depois da vacina. ",2020-09-08,relevant
A1643,"Atenção: Mais de 1.100.000 de pessoas já receberam vacina contra o COVID em 4 países diferentes.\n\nAs vacinas causaram 3 reações alérgicas relevantes, os 3 já se recuperaram e estão bem.\n\nNesse intervalo de tempo o COVID matou mais de 90 mil pessoas.\n\nLembrem dessa comparação.",2020-12-21,relevant
A402,"Inglaterra começa a vacinar os ingleses contra Convid-19 na próxima semana.O Brasil nem seringas diz ter. Grande tecnologia: fabricar seringas!!! Meu Deus.Sem contar com as querelas do Bolsonaro com o Dória,dificultando a aquisição de vacinas pelo Instituto Butantã, em São Paulo.",2020-12-02,relevant
A981,"“Adoraria dizer que existe uma cura milagrosa e uma vacina efetiva contra o Covid, mas infelizmente ainda não estamos lá”, acrescenta. “Elas provavelmente levarão meses a anos para serem desenvolvidas, e precisamos ter paciência”.",2020-05-16,relevant
A986,Rússia planeja testes clínicos da vacina contra o coronavírus em duas semanas ,2020-05-31,relevant
A406,"A vacinação contra a gripe em caminhoneiros e portuários acontecerá a partir da próxima quinta-feira, 16 de abril. Essa ação é importante para esses trabalhadores, pois os sintomas da gripe comum e do coronavírus são muito parecidos e isso facilitará o diagnóstico. ",2020-04-13,irrelevant
A105,"A campanha de vacinação contra a #gripe foi prorrogada até o dia 30 de junho. Ela reduz o risco de morte e infecções graves causadas pela influenza. Se você tem entre 55 a 59 anos, procure um posto de saúde para tomar a #vacina. ",2020-06-26,irrelevant
A52,"Lembrando que a campanha é para aumentar a cobertura vacinal da população. A vacina contra polio é ofertada o ano inteiro, em todos os centros de saúde do país! VIVA O #SUS!",2020-11-19,irrelevant
A473,Os ricos trouxeram a covid pro Brasil. Os pobres foram os que mais morreram. Adivinhem quem serão os primeiros vacinados? ,2020-11-18,relevant
A489,A vacina é o #Vote13! ,2020-11-14,irrelevant
A698,"2020 foi um ano muito difícil para todas e todos nós. Obrigada por terem lutado e resistido junto com a gente. Nas festas de final de ano, cuidem daqueles que vocês amam. Um 2021 com muita saúde, vacina e união. Um beijo e boa luta. ❤️ ",2020-12-24,relevant
A785,"Não é só a Covid que trás sofrimento às favelas: a @agencia_fiocruz lançou o boletim ""Radar Covid-19 Favelas"", que traz informações sobre saneamento, distribuição de água e coleta de lixo. Na 1ª edição, as favelas do Catiri, Jacarezinho, Manguinhos e Maré.",2020-08-03,irrelevant
A822,"Se você é médico ou enfermeiro e deseja se voluntariar para levar a vacinação contra a gripe até seus vizinhos idosos, que moram em condomínio ou prédio, basta preencher o cadastro e fazer o agendamento no site:  \n\n#PrefeitoCrivella #RiocontraoCoronavirus ",2020-03-26,irrelevant
A852,"A audiência pública da Comissão de Saúde, que presido, com a @SaudeGovRJ trouxe esclarecimentos, mas não o suficiente. Fomos informados que o Rio irá seguir o planejamento do Governo Federal e usar apenas vacinas do SUS. Mas ainda faltam respostas. #Covid19",2020-12-03,relevant
A866,My thoughts and prayers are with @BorisJohnson and his family as he continues to receive treatment in hospital.\n\nThis horrific virus does not discriminate. Anyone can get it. Anyone can spread it. Please #StayHomeSaveLives,2020-04-06,irrelevant
A607,"URGENTE: Vacina de Oxford para covid-19 é segura e induz resposta imune, dizem cientistas\n ",2020-07-21,relevant
A984,Esperança de vacina ,2020-05-24,relevant
A243,Ótima noticia! A farmacêutica americana Pfizer protocolou hoje resultados de testes da fase 3 de sua vacina contra a covid-19 na Anvisa. Os documentos agora passam por análise do órgão.  ,2020-12-16,relevant
A240,"O grande assunto hoje em todo o mundo é a vacina. O Reino Unido deu a largada para a imunização contra a Covid-19. É a esperança que renasce!! A imunização significa a nossa vida de volta, em familia, com amigos! Que a ciência seja vitoriosa e que tudo dê certo! ",2020-12-08,relevant
A1849,"Aquisição de vacinas que cumprirem todas as etapas de aprovação, em número suficiente para imunizar todos os brasileiros e rito sumário na análise pela Anvisa, para garantir, o quanto antes, o início da vacinação, coordenada pela União, através do PNI. O foco tem que ser este...",2020-12-10,relevant
A1197,“Um tema tão sério quanto a vacina não pode virar disputa política. O Bolsonaro quer ir contra o básico. E o Dória quer surfar em cima da vacina. Os dois estão errados. Vou trazer os melhores especialistas e fazer um amplo programa de vacinação.” #BoulosNoRatinho,2020-11-03,relevant
A1280,"Pressionada, Anvisa autoriza importação dos primeiros 6 milhões de doses da vacina chinesa. Brasileiros têm direito à imunização. Só assim vida voltará ao normal e economia poderá reabrir totalmente. Não é na base do achismo. É da ciência e racionalidade.",2020-10-23,relevant
A138,POR UM PLANO EMERGENCIAL DE VACINAÇÃO! VACINA PARA TODOS JÁ! | O Brasil é o terceiro país com mais casos de COVID-19 e o segundo em número de mortos\n\nLeia mais  ,2020-12-17,relevant
A1428,"Se houver demanda?? Esse é o ministro da saúde do nosso país, com centenas de milhares de mortos. Inaceitável! Uma vergonha!\n\nInacreditável: Pazuello diz que comprará mais vacinas ""se houver demanda""  via @UOLNoticias @UOL",2020-12-08,relevant
A1460,"A vacina e a ampla imunização da sociedade não são questões ideológicas, são medidas sanitárias necessárias e vitais para controlar uma pandemia com consequências trágicas para todos nós, como é a COVID-19. #Vacinaparatodosjá! ",2020-12-11,relevant
